conduit,from-to,slope,D_m,length_m,V_mean_dry,V_p10_dry,Q_mean_Ls,Q_max_Ls,tau_full_Pa
G72F020_G72K020_l1,,-0.01363,1.6875,16.1,0.069,0.024,4.13,5.68,0.0
G72F030_G72F020_l1,,0.00667,1.6875,80.8,0.074,0.025,4.03,5.65,0.0
G72K010_G72F010_l1,,0.00245,1.6875,4.5,0.125,0.06,4.15,5.68,0.0
G72K020_G72K010_l1,,0.00165,1.6875,36.4,0.193,0.112,4.13,5.66,0.0
G72F010_G71F200_l1,,-0.00109,1.6875,36.8,0.219,0.122,5.07,6.77,0.0
G73F000_G72F120_l1,,0.00438,1.0,63.9,0.208,0.145,2.2,3.53,10.74
G71F140_G71F130_l1,,-0.00018,1.6875,56.8,0.24,0.153,5.22,6.98,0.0
G64F080_G64F070_l1,,0.00025,0.6,81.0,0.24,0.165,7.46,11.42,0.36
G73F010_G73F000_l1,,0.00356,1.0,53.4,0.25,0.17,2.09,3.43,8.73
G65F110_G65F090_l1,,0.00015,0.6,66.4,0.262,0.175,7.15,10.78,0.22
F74F380_F74F370_l1,,0.00056,0.5,71.7,0.26,0.184,9.76,17.11,0.68
G60F090_G60F070_l1,,0.0,0.5,58.1,0.301,0.187,7.96,13.43,0.0
G70F040_G70F030_l1,,0.00169,0.6,70.9,0.272,0.188,5.54,8.89,2.49
G63F010_G60F210_l1,,0.00032,0.6,95.2,0.269,0.188,8.19,13.46,0.46
G65F120_G65F110_l1,,0.00228,0.6,48.2,0.283,0.188,7.18,10.85,3.36
